,attraction_name,date,forecast
68,[Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle,11/3/2024,25.78343888
69,[Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle,11/4/2024,33.79880225
70,[Sci-Fi City] Accelerator,10/22/2024,13.99253293
71,[Sci-Fi City] Accelerator,10/23/2024,14.50032206
72,[Sci-Fi City] Accelerator,10/24/2024,16.50981068
73,[Sci-Fi City] Accelerator,10/25/2024,16.09552078
74,[Sci-Fi City] Accelerator,10/26/2024,20.1946657
75,[Sci-Fi City] Accelerator,10/27/2024,12.84930315
76,[Sci-Fi City] Accelerator,10/28/2024,16.84849074
77,[Sci-Fi City] Accelerator,10/29/2024,14.43170634
78,[Sci-Fi City] Accelerator,10/30/2024,14.30730981
79,[Sci-Fi City] Accelerator,10/31/2024,12.34559785
80,[Sci-Fi City] Accelerator,11/1/2024,15.53700774
81,[Sci-Fi City] Accelerator,11/2/2024,19.45266496
82,[Sci-Fi City] Accelerator,11/3/2024,12.36767711
83,[Sci-Fi City] Accelerator,11/4/2024,16.21244025
84,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,10/22/2024,13.01839319
85,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,10/23/2024,13.4908802
86,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,10/24/2024,15.36051046
87,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,10/25/2024,14.97502078
88,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,10/26/2024,18.78902573
89,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,10/27/2024,11.95474235
90,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,10/28/2024,15.67553865
91,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,10/29/2024,13.42699547
92,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,10/30/2024,13.31131089
93,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,10/31/2024,11.48624797
94,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,11/1/2024,14.45538073
95,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,11/2/2024,18.09865667
96,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,11/3/2024,11.50663591
97,[Sci-Fi City] TRANSFORMERS: Voices of Cybertron,11/4/2024,15.08375332
98,[Sci-Fi City] Sci-Fi Games,10/22/2024,3.692943324
99,[Sci-Fi City] Sci-Fi Games,10/23/2024,3.826947915
100,[Sci-Fi City] Sci-Fi Games,10/24/2024,4.357287868
101,[Sci-Fi City] Sci-Fi Games,10/25/2024,4.247951365
102,[Sci-Fi City] Sci-Fi Games,10/26/2024,5.329773911
103,[Sci-Fi City] Sci-Fi Games,10/27/2024,3.391210441
104,[Sci-Fi City] Sci-Fi Games,10/28/2024,4.44667922
105,[Sci-Fi City] Sci-Fi Games,10/29/2024,3.808836231
106,[Sci-Fi City] Sci-Fi Games,10/30/2024,3.775997539
107,[Sci-Fi City] Sci-Fi Games,10/31/2024,3.258263768
108,[Sci-Fi City] Sci-Fi Games,11/1/2024,4.10054213
109,[Sci-Fi City] Sci-Fi Games,11/2/2024,5.133939159
110,[Sci-Fi City] Sci-Fi Games,11/3/2024,3.264095381
111,[Sci-Fi City] Sci-Fi Games,11/4/2024,4.278807444
112,[Ancient Egypt] Revenge of the Mummy,10/22/2024,35.31164664
113,[Ancient Egypt] Revenge of the Mummy,10/23/2024,36.5930806
114,[Ancient Egypt] Revenge of the Mummy,10/24/2024,41.66422772
115,[Ancient Egypt] Revenge of the Mummy,10/25/2024,40.61875107
116,[Ancient Egypt] Revenge of the Mummy,10/26/2024,50.96326039
117,[Ancient Egypt] Revenge of the Mummy,10/27/2024,32.42660634
